0.000000,0.015625,0.031250,0.046875,0.062500,0.078125,0.093750,0.109375,0.125000,0.140625,0.156250,0.171875,0.187500,0.203125,0.218750,0.234375,0.250000,0.265625,0.281250,0.296875,0.312500,0.328125,0.343750,0.359375,0.375000,0.390625,0.406250,0.421875,0.437500,0.453125,0.468750,0.484375,0.500000,0.515625,0.531250,0.546875,0.562500,0.578125,0.593750,0.609375,0.625000,0.640625,0.656250,0.671875,0.687500,0.703125,0.718750,0.734375,0.750000,0.765625,0.781250,0.796875,0.812500,0.828125,0.843750,0.859375,0.875000,0.890625,0.906250,0.921875,0.937500,0.953125,0.968750,0.984375
7.73615495e-03,1.00334762e-02,1.04148916e-02,9.45798701e-03,7.62348535e-03,5.80489542e-03,6.93070781e-03,1.10449993e-02,1.62088963e-02,2.23042672e-02,2.46293201e-02,2.56073686e-02,2.59079041e-02,2.35815386e-02,1.88051786e-02,1.49180986e-02,1.17983438e-02,1.04180603e-02,8.40617245e-03,7.73996044e-03,6.27483078e-03,4.39680989e-03,2.32412753e-03,1.86465994e-05,-1.78023390e-03,-4.17451377e-03,-5.22895575e-03,-5.92343228e-03,-5.85995991e-03,-5.95909558e-03,-6.37266270e-03,-4.40813827e-03,-3.09609925e-03,-1.86027490e-03,1.14306851e-03,3.41145407e-03,8.50797412e-03,1.40159654e-02,1.87633339e-02,2.50037899e-02,3.16838063e-02,3.61234592e-02,3.61495519e-02,3.23471678e-02,2.73898881e-02,2.37504346e-02,2.09160747e-02,1.79840138e-02,1.39580295e-02,1.12414849e-02,9.63554094e-03,7.46018970e-03,7.01600544e-03,7.38255826e-03,8.74833329e-03,8.67000260e-03,6.92151955e-03,4.40329580e-03,1.75584143e-03,1.23019750e-03,2.84089163e-03,4.00984556e-03,4.19051532e-03,6.25629873e-03
7.83225465e-03,9.44034169e-03,9.89033660e-03,9.15331034e-03,7.75637874e-03,6.81123625e-03,7.99139016e-03,1.15131444e-02,1.62929843e-02,2.11490701e-02,2.39648854e-02,2.51511768e-02,2.49905412e-02,2.28329484e-02,1.90161802e-02,1.52899516e-02,1.23383003e-02,1.04120077e-02,8.73487336e-03,7.56119644e-03,6.11764984e-03,4.31053735e-03,2.27024607e-03,1.28520291e-04,-1.85428983e-03,-3.79715623e-03,-5.02225766e-03,-5.68739257e-03,-5.86318868e-03,-5.93024042e-03,-5.73824295e-03,-4.45970317e-03,-3.04211140e-03,-1.37660498e-03,1.17498289e-03,4.20366534e-03,8.71408425e-03,1.38719708e-02,1.90929413e-02,2.49559031e-02,3.07161827e-02,3.44895986e-02,3.47576193e-02,3.19392347e-02,2.77960323e-02,2.40823066e-02,2.09319610e-02,1.77850987e-02,1.43629041e-02,1.16232848e-02,9.64898197e-03,7.99131806e-03,7.37998760e-03,7.63306273e-03,8.29751066e-03,8.08410582e-03,6.62111574e-03,4.44664827e-03,2.46345428e-03,1.92561418e-03,2.80118482e-03,3.81403324e-03,4.64797919e-03,6.20224642e-03
7.75968721e-03,9.03087752e-03,9.45287022e-03,8.93457949e-03,7.97618877e-03,7.58012976e-03,8.84011412e-03,1.19743919e-02,1.62330465e-02,2.04230950e-02,2.32720078e-02,2.45403839e-02,2.42512627e-02,2.22848614e-02,1.90359866e-02,1.55985622e-02,1.27148965e-02,1.05791092e-02,8.89447041e-03,7.49648490e-03,5.99404626e-03,4.22307620e-03,2.23799211e-03,1.75344773e-04,-1.79679273e-03,-3.55525198e-03,-4.79770157e-03,-5.50429168e-03,-5.78244191e-03,-5.78789898e-03,-5.39373348e-03,-4.33959776e-03,-2.90322066e-03,-1.06738567e-03,1.43895044e-03,4.69020014e-03,8.96266093e-03,1.39170833e-02,1.92022346e-02,2.47477379e-02,2.98505105e-02,3.31553871e-02,3.36006010e-02,3.14622695e-02,2.79331050e-02,2.43139901e-02,2.09973391e-02,1.77844048e-02,1.46199112e-02,1.19231167e-02,9.85574973e-03,8.37175008e-03,7.70585010e-03,7.75068824e-03,7.99814166e-03,7.64440605e-03,6.36995619e-03,4.54677011e-03,2.96763232e-03,2.42147198e-03,2.91671242e-03,3.81314635e-03,4.85107121e-03,6.24528984e-03
7.64090730e-03,8.71478174e-03,9.11244260e-03,8.79444111e-03,8.21235352e-03,8.19432076e-03,9.52251069e-03,1.23702928e-02,1.61617399e-02,1.98988734e-02,2.26196462e-02,2.38923264e-02,2.36118724e-02,2.18407609e-02,1.89770907e-02,1.58168542e-02,1.30079847e-02,1.07810983e-02,9.00882997e-03,7.47552107e-03,5.90629148e-03,4.14737264e-03,2.21155753e-03,2.11161024e-04,-1.70193220e-03,-3.36493974e-03,-4.59127580e-03,-5.33265697e-03,-5.65237691e-03,-5.61647847e-03,-5.15275959e-03,-4.16285141e-03,-2.72000760e-03,-8.01737674e-04,1.74788879e-03,5.05719511e-03,9.21114603e-03,1.40195246e-02,1.92002269e-02,2.44437746e-02,2.90660806e-02,3.20436362e-02,3.26138866e-02,3.09531259e-02,2.78991509e-02,2.44502261e-02,2.10922936e-02,1.78697816e-02,1.48245755e-02,1.21866181e-02,1.01203275e-02,8.68964009e-03,7.96895453e-03,7.81554198e-03,7.78627347e-03,7.32151182e-03,6.18280859e-03,4.64894283e-03,3.33848978e-03,2.80383097e-03,3.10262186e-03,3.89835314e-03,4.96640277e-03,6.27644219e-03
7.51574155e-03,8.46235345e-03,8.85884865e-03,8.71738438e-03,8.43872934e-03,8.69337173e-03,1.00702498e-02,1.26948358e-02,1.61056087e-02,1.94843424e-02,2.20294690e-02,2.32674889e-02,2.30385846e-02,2.14528296e-02,1.88806995e-02,1.59581275e-02,1.32388218e-02,1.09718732e-02,9.11276403e-03,7.47771395e-03,5.84821502e-03,4.08847426e-03,2.19171877e-03,2.48558095e-04,-1.60075263e-03,-3.19920860e-03,-4.40414029e-03,-5.16176091e-03,-5.49735728e-03,-5.43880893e-03,-4.94562331e-03,-3.96816329e-03,-2.51321551e-03,-5.44096405e-04,2.04892481e-03,5.36932547e-03,9.44226668e-03,1.41205475e-02,1.91349806e-02,2.40938782e-02,2.83525336e-02,3.10980476e-02,3.17557055e-02,3.04370563e-02,2.77571893e-02,2.45063939e-02,2.11896657e-02,1.79902303e-02,1.50148732e-02,1.24322103e-02,1.03900915e-02,8.96911633e-03,8.18067149e-03,7.85995660e-03,7.63499952e-03,7.09025358e-03,6.05309414e-03,4.73877144e-03,3.62055429e-03,3.11504729e-03,3.31058063e-03,4.01990614e-03,5.05120138e-03,6.28153759e-03
7.39651180e-03,8.25470512e-03,8.66673643e-03,8.68109100e-03,8.65012174e-03,9.11330421e-03,1.05235912e-02,1.29648670e-02,1.60595819e-02,1.91320337e-02,2.14946517e-02,2.26819378e-02,2.25110197e-02,2.10948954e-02,1.87640885e-02,1.60478876e-02,1.34235164e-02,1.11424979e-02,9.21237199e-03,7.49395283e-03,5.81082464e-03,4.04469924e-03,2.17949444e-03,2.88741509e-04,-1.50104368e-03,-3.04708516e-03,-4.22928706e-03,-4.99092975e-03,-5.33164464e-03,-5.25921307e-03,-4.74834523e-03,-3.76688076e-03,-2.29541334e-03,-2.89028547e-04,2.33551269e-03,5.65093449e-03,9.65262330e-03,1.42036160e-02,1.90345584e-02,2.37294677e-02,2.76938441e-02,3.02619691e-02,3.09840690e-02,2.99272240e-02,2.75559800e-02,2.45076234e-02,2.12751250e-02,1.81208365e-02,1.52012908e-02,1.26674218e-02,1.06501168e-02,9.22148082e-03,8.36070055e-03,7.89858326e-03,7.52423173e-03,6.92059303e-03,5.96291493e-03,4.81861213e-03,3.84994502e-03,3.38228512e-03,3.51819198e-03,4.15306831e-03,5.12416781e-03,6.27204722e-03
7.28883030e-03,8.08683840e-03,8.52577692e-03,8.67592483e-03,8.84390605e-03,9.46662950e-03,1.08966320e-02,1.31861549e-02,1.60185723e-02,1.88269816e-02,2.10138124e-02,2.21427735e-02,2.20250155e-02,2.07592199e-02,1.86322391e-02,1.60956799e-02,1.35666156e-02,1.12898339e-02,9.30700869e-03,7.52102515e-03,5.79111378e-03,4.01589400e-03,2.17599513e-03,3.31859100e-04,-1.40448019e-03,-2.90528817e-03,-4.06377318e-03,-4.82093529e-03,-5.16039144e-03,-5.07813693e-03,-4.55409975e-03,-3.56167396e-03,-2.07166510e-03,-3.72219104e-05,2.60676951e-03,5.90723765e-03,9.83942204e-03,1.42637026e-02,1.89093075e-02,2.33640360e-02,2.70863519e-02,2.95155970e-02,3.02848168e-02,2.94305373e-02,2.73155311e-02,2.44640543e-02,2.13418149e-02,1.82509478e-02,1.53842333e-02,1.28931033e-02,1.08956658e-02,9.44965293e-03,8.51748094e-03,7.93707947e-03,7.44767101e-03,6.80109333e-03,5.90508060e-03,4.89113322e-03,4.04042631e-03,3.61401533e-03,3.71634810e-03,4.28784807e-03,5.19009345e-03,6.25556948e-03
7.19563522e-03,7.95270306e-03,8.42450594e-03,8.69192969e-03,9.02030204e-03,9.76624199e-03,1.12054039e-02,1.33665208e-02,1.59780953e-02,1.85571781e-02,2.05811043e-02,2.16495306e-02,2.15760545e-02,2.04409669e-02,1.84891981e-02,1.61108736e-02,1.36745297e-02,1.14144038e-02,9.39528899e-03,7.55557123e-03,5.78565914e-03,4.00061932e-03,2.18121133e-03,3.77860958e-04,-1.31096131e-03,-2.77111846e-03,-3.90514360e-03,-4.65253007e-03,-4.98674842e-03,-4.89570565e-03,-4.35985743e-03,-3.35402892e-03,-1.84570424e-03,2.09929236e-04,2.86357351e-03,6.14159765e-03,1.00027893e-02,1.43014411e-02,1.87679620e-02,2.30059213e-02,2.65240169e-02,2.88398994e-02,2.96438372e-02,2.89507365e-02,2.70521966e-02,2.43867912e-02,2.13876542e-02,1.83734814e-02,1.55614927e-02,1.31089727e-02,1.11258780e-02,9.65763937e-03,8.65851628e-03,7.97882911e-03,7.39873852e-03,6.71995488e-03,5.87212280e-03,4.95946622e-03,4.20370342e-03,3.81775058e-03,3.90074953e-03,4.41815405e-03,5.25147940e-03,6.23842208e-03
7.11666683e-03,7.84534231e-03,8.35220772e-03,8.72143371e-03,9.18167874e-03,1.00245486e-02,1.14654631e-02,1.35147937e-02,1.59359425e-02,1.83130546e-02,2.01875110e-02,2.11957912e-02,2.11580842e-02,2.01367359e-02,1.83384202e-02,1.61018608e-02,1.37547588e-02,1.15194340e-02,9.47682141e-03,7.59469869e-03,5.79091959e-03,3.99640379e-03,2.19403200e-03,4.26533815e-04,-1.21966699e-03,-2.64237142e-03,-3.75153434e-03,-4.48592793e-03,-4.81223767e-03,-4.71218463e-03,-4.16482104e-03,-3.14497841e-03,-1.61966873e-03,4.51819875e-04,3.10773786e-03,6.35749383e-03,1.01457859e-02,1.43208228e-02,1.86168592e-02,2.26579635e-02,2.59986400e-02,2.82178470e-02,2.90479004e-02,2.84877804e-02,2.67767330e-02,2.42858026e-02,2.14147802e-02,1.84857499e-02,1.57313091e-02,1.33151376e-02,1.13424582e-02,9.85004881e-03,8.78932379e-03,8.02489397e-03,7.37090872e-03,6.66677041e-03,5.85743688e-03,5.02581615e-03,4.34845415e-03,4.00023908e-03,4.07147543e-03,4.54195558e-03,5.30977494e-03,6.22382222e-03
7.05312367e-03,7.76299105e-03,8.30480089e-03,8.76088174e-03,9.32786827e-03,1.02452107e-02,1.16816442e-02,1.36333682e-02,1.58907538e-02,1.80914393e-02,1.98310624e-02,2.07811360e-02,2.07707485e-02,1.98464900e-02,1.81815802e-02,1.60715030e-02,1.38093323e-02,1.16050785e-02,9.55044402e-03,7.63676271e-03,5.80554825e-03,4.00265993e-03,2.21447952e-03,4.78150577e-04,-1.13007096e-03,-2.51818245e-03,-3.60236244e-03,-4.32142286e-03,-4.63758515e-03,-4.52773981e-03,-3.96881244e-03,-2.93519982e-03,-1.39502600e-03,6.87201357e-04,3.33871728e-03,6.55484033e-03,1.02684695e-02,1.43230974e-02,1.84591512e-02,2.23227938e-02,2.55089531e-02,2.76447652e-02,2.84938060e-02,2.80435282e-02,2.64947179e-02,2.41652995e-02,2.14231009e-02,1.85849234e-02,1.58909854e-02,1.35100088e-02,1.15450942e-02,1.00283234e-02,8.91227011e-03,8.07621706e-03,7.36217139e-03,6.63785916e-03,5.85877783e-03,5.09135780e-03,4.47802116e-03,4.16347875e-03,4.22757503e-03,4.65766610e-03,5.36551162e-03,6.21394889e-03
7.00353622e-03,7.70082944e-03,8.27588996e-03,8.80636953e-03,9.46079951e-03,1.04359208e-02,1.18633342e-02,1.37281014e-02,1.58422194e-02,1.78871836e-02,1.95050885e-02,2.03996065e-02,2.04098063e-02,1.95686964e-02,1.80209651e-02,1.60248337e-02,1.38432979e-02,1.16741868e-02,9.61632478e-03,7.68000541e-03,5.82711899e-03,4.01738268e-03,2.24146633e-03,5.32586619e-04,-1.04142634e-03,-2.39728380e-03,-3.45663682e-03,-4.15889415e-03,-4.46325172e-03,-4.34273444e-03,-3.77213493e-03,-2.72547021e-03,-1.17276778e-03,9.15836777e-04,3.55762813e-03,6.73592630e-03,1.03738635e-02,1.43118752e-02,1.82980484e-02,2.20003784e-02,2.50492996e-02,2.71111560e-02,2.79740373e-02,2.76168594e-02,2.62109489e-02,2.40311128e-02,2.14154707e-02,1.86708220e-02,1.60395529e-02,1.36935674e-02,1.17353774e-02,1.01954161e-02,9.02997691e-03,8.13257930e-03,7.36845978e-03,6.62738334e-03,5.87243049e-03,5.15694064e-03,4.59662035e-03,4.31148990e-03,4.37072513e-03,4.76561930e-03,5.41942701e-03,6.20950848e-03
6.96630018e-03,7.65524923e-03,8.26119040e-03,8.85555200e-03,9.58210304e-03,1.06020974e-02,1.20170771e-02,1.38032731e-02,1.57904877e-02,1.76968519e-02,1.92045370e-02,2.00463452e-02,2.00719188e-02,1.93021627e-02,1.78581309e-02,1.59653675e-02,1.38603607e-02,1.17290912e-02,9.67488288e-03,7.72333760e-03,5.85389634e-03,4.03900622e-03,2.27406513e-03,5.89680381e-04,-9.53226127e-04,-2.27882436e-03,-3.31366985e-03,-3.99815833e-03,-4.28944944e-03,-4.15747666e-03,-3.57515991e-03,-2.51635321e-03,-9.53433506e-04,1.13775760e-03,3.76545574e-03,6.90265265e-03,1.04644989e-02,1.42898851e-02,1.81354493e-02,2.16900545e-02,2.46153936e-02,2.66104771e-02,2.74833206e-02,2.72064593e-02,2.59280251e-02,2.38870470e-02,2.13943259e-02,1.87440184e-02,1.61768308e-02,1.38661007e-02,1.19146147e-02,1.03533448e-02,9.14396156e-03,8.19351777e-03,7.38690326e-03,6.63145773e-03,5.89589105e-03,5.22293456e-03,4.70686062e-03,4.44711607e-03,4.50263354e-03,4.86657922e-03,5.47202554e-03,6.21048144e-03
6.94157877e-03,7.62541608e-03,8.25909574e-03,8.90703280e-03,9.69154197e-03,1.07448094e-02,1.21444186e-02,1.38598062e-02,1.57353910e-02,1.75196074e-02,1.89286781e-02,1.97212250e-02,1.97572080e-02,1.90477235e-02,1.76942375e-02,1.58943571e-02,1.38613480e-02,1.17698389e-02,9.72546703e-03,7.76580421e-03,5.88504850e-03,4.06707322e-03,2.31221955e-03,6.49670852e-04,-8.65072837e-04,-2.16241103e-03,-3.17325706e-03,-3.83928520e-03,-4.11642915e-03,-3.97227972e-03,-3.37831896e-03,-2.30855595e-03,-7.37998360e-04,1.35193790e-03,3.96138414e-03,7.05460843e-03,1.05405615e-02,1.42580413e-02,1.79727361e-02,2.13928986e-02,2.42073313e-02,2.61421236e-02,2.70215460e-02,2.68135519e-02,2.56481700e-02,2.37349270e-02,2.13599749e-02,1.88033422e-02,1.63010579e-02,1.40261909e-02,1.20822514e-02,1.05024036e-02,9.25482065e-03,8.25915753e-03,7.41677851e-03,6.64892788e-03,5.92846192e-03,5.28961919e-03,4.80963642e-03,4.57103214e-03,4.62337649e-03,4.96043362e-03,5.52357593e-03,6.21743957e-03
